Category_1,Category_2,Ordinal_1,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Target
C,,High,2.748,0.1307,0.247,0.718,1.358,0.05103,2.875,1.909,1.507,,3.125,-2.13,57.12
C,Y,Low,3.3,2.248,-3.768,1.552,0.378,3.26,1.603,-1.122,-1.12,1.261,0.3782,-3.92,-17.75
B,Y,Medium,,-1.645,0.9414,-0.04312,1.36,-0.4763,0.72,2.426,2.725,-0.07434,0.04214,1.406,58.03
C,X,Low,-4.85,2.68,1.757,3.328,-0.71,0.0779,,2.246,-1.166,0.8247,-5.3,-3.195,126.7
C,Y,Low,-5.203,2.85,-0.978,-1.624,1.266,-1.416,1.399,-3.588,1.175,-1.248,-2.766,-3.965,116.2
C,Y,Medium,2.85,,-0.919,0.3772,4.176,3.953,1.03,0.257,-0.5044,,1.071,-0.884,29.7
C,Y,Low,1.49,-1.614,-2.95,2.154,-1.413,1.076,1.147,-2.355,0.8438,1.285,,-1.064,35.34
B,Y,Low,3.064,5.17,-1.009,0.0672,1.364,2.873,-0.01079,4.797,-0.9585,-1.48,-0.05862,-1.639,-51.47
C,Y,Medium,,0.8604,1.753,-1.301,-1.272,3.793,1.099,3.127,2.78,1.187,,3.725,-14.97
C,Y,Medium,-0.1455,0.014694,1.515,2.547,1.921,4.24,2.053,3.78,1.027,,-3.414,7.6,28.7
B,X,Medium,-1.396,-1.747,,-1.111,1.868,-2.502,0.8755,1.915,0.7544,0.10474,0.8774,1.651,63.53
B,X,High,-0.602,-1.581,1.047,1.352,-0.0321,0.3882,0.10815,1.923,1.031,2.344,0.9893,-0.5566,49.2
A,X,Medium,2.775,,3.643,-1.646,-0.12317,0.1754,,0.1854,1.155,-0.2925,2.951,3.135,11.25
C,X,High,-0.2378,-0.7603,1.115,1.19,0.3188,-0.1885,0.6533,2.268,1.432,-1.841,-4.277,-1.916,102.56
B,Y,Low,-0.408,4.297,0.963,,-0.544,-1.194,-0.785,1.678,2.982,1.347,0.849,1.119,-9.67
A,Y,Low,0.2615,-4.004,-0.571,-4.117,-0.3994,-0.409,0.7397,0.11096,1.791,-1.091,1.107,-4.94,45.2
B,Y,Medium,3.617,1.35,-0.1538,-3.873,2.63,-1.171,0.302,4.49,2.178,1.81,1.062,,-39.97
A,Y,Medium,1.627,-6.188,0.00903,1.152,1.523,-3.0,1.462,2.904,0.9097,0.913,,1.169,56.8
B,Y,Low,-2.738,1.413,-0.494,0.4958,0.8687,-0.9106,2.227,-0.1589,-0.7876,0.8916,-1.611,-0.4163,63.16
C,X,High,2.443,0.0706,3.062,0.6104,0.972,-2.871,1.505,,0.4321,-3.553,8.0,2.412,128.1
A,Y,Low,-4.242,2.055,0.58,-1.054,1.207,1.166,1.113,-0.5864,-0.3018,1.655,2.062,,66.56
A,X,Low,5.305,0.697,0.1927,-0.1603,0.5835,0.681,-1.022,2.04,2.225,0.767,-0.799,,-20.19
A,Y,Low,2.57,-0.658,-0.4346,2.86,-1.192,-1.587,0.02007,1.082,0.846,-0.259,0.003372,3.938,22.7
C,X,Medium,3.754,0.3518,0.1938,-1.714,1.3955,-1.823,0.71,-0.61,1.745,0.4412,-0.837,1.345,39.72
C,Y,Low,,,-2.42,1.627,-1.766,0.394,-0.6323,4.258,1.326,1.889,2.84,4.203,-11.73
,Y,Low,2.328,0.656,0.128,0.8066,-0.4263,-0.02423,-0.5,-1.178,0.5674,4.902,-2.074,2.43,-0.473
A,Y,Medium,2.912,-4.01,1.758,2.11,-0.995,2.504,1.501,-0.4814,0.2869,0.1525,-3.738,1.884,65.94
A,X,Medium,-1.9375,1.315,0.4863,-0.2512,-0.746,2.13,0.8438,0.5044,0.542,-0.07465,,-1.906,59.3
C,X,Medium,-0.1569,-0.7393,-0.892,-0.2585,0.388,0.263,0.726,4.29,0.01758,0.9756,-2.807,2.732,23.88
A,Y,Medium,-3.86,-0.5186,0.9893,2.316,0.788,4.832,0.3083,0.69,-0.4453,-0.4194,0.004543,1.911,70.0
A,Y,High,3.037,-0.5947,-0.4417,-2.21,-0.4963,-2.164,1.011,1.426,-0.448,5.395,1.882,-2.357,-38.06
B,Y,Low,1.251,-0.6523,1.57,-1.94,0.9097,1.764,1.115,3.21,0.1942,4.684,0.2517,0.896,-45.22
A,X,Low,0.3179,-0.565,-1.712,-2.676,2.053,-0.5024,1.641,2.723,,0.3435,-1.374,-2.746,6.633
B,Y,Low,1.007,,-1.861,0.751,2.28,0.4307,1.665,-2.062,2.336,4.367,,-2.287,4.27
,Y,Low,0.732,1.227,-0.4287,,-1.765,1.441,0.8594,6.81,1.0205,-3.87,1.124,-2.7,0.6445
,X,Low,1.321,-3.408,-1.259,-0.07324,-1.091,-0.7217,0.993,-0.3452,0.986,2.605,-2.424,-2.945,32.66
C,Y,,-2.004,0.04102,-0.772,0.02144,0.991,-3.98,2.244,0.893,2.887,1.039,5.797,-0.416,100.5
C,X,Medium,1.338,3.326,1.118,0.1926,1.203,1.365,1.154,0.879,-0.06573,-0.3503,-0.1731,3.307,41.12
B,Y,Low,3.525,0.8745,-0.3513,-1.334,2.426,1.617,0.4753,1.024,0.3125,2.059,1.824,-1.07,-12.79
B,Y,Medium,3.252,0.1864,-0.1625,-1.362,0.12225,1.414,0.26,-0.744,0.8457,-2.541,4.656,3.072,-2.725
A,X,Medium,-0.562,3.074,0.6055,-2.914,2.152,-1.092,1.137,-1.729,0.9893,-2.428,-1.343,0.3027,34.66
A,,Medium,-2.277,-1.902,-3.357,,-1.723,,1.3,7.04,1.143,5.27,1.769,1.539,-81.06
C,X,Medium,,0.9814,0.4175,2.162,2.686,0.3535,0.5825,0.867,1.846,-0.1997,-0.427,1.486,101.06
B,X,High,1.906,-2.611,1.011,2.195,,-0.0348,1.507,2.158,1.121,0.357,-2.836,1.401,59.06
C,X,Low,5.957,0.646,-0.533,-2.28,0.831,-0.1233,0.956,0.811,1.117,-1.212,4.39,1.0625,5.14
A,X,High,0.0257,,-0.84,-0.6016,1.153,2.816,0.572,1.17,1.232,0.569,2.688,2.158,-10.47
B,Y,Medium,2.365,-1.99,0.883,0.753,,1.333,0.797,2.975,-0.025,0.3406,4.383,1.751,25.02
C,X,Low,-2.424,-0.10925,0.7583,-1.304,-1.188,0.361,0.233,1.061,0.78,-0.4895,0.4624,3.36,60.47
C,X,Medium,-3.145,-4.285,0.1844,1.452,2.01,-3.498,2.428,1.367,1.683,-1.995,-1.1455,-2.438,199.4
C,X,Low,-2.361,-0.2361,-0.3652,1.964,0.1864,-6.438,1.073,-3.682,0.6577,1.823,6.32,6.586,121.1
C,,Medium,-4.168,2.008,-0.673,2.162,-1.246,6.582,0.163,-2.928,1.129,-0.8193,-0.1353,-4.945,107.4
A,X,Low,0.1918,0.9614,,-0.981,,-0.3298,0.04205,1.411,-0.617,-0.1113,1.99,2.602,-17.27
B,Y,High,-4.023,-2.002,0.458,-2.021,-0.1306,1.067,1.575,-1.377,2.057,5.715,1.979,6.113,9.016
A,X,Low,1.771,3.098,-0.6836,3.863,-1.738,-4.867,2.465,-2.783,-0.266,2.875,1.929,-3.35,65.9
A,X,,-3.53,3.459,,-3.373,0.4878,0.2805,1.6,3.67,1.225,1.991,-3.26,2.654,-1.0205
B,X,Medium,1.412,4.56,,0.2296,0.4453,1.695,-0.0562,-2.033,-0.4114,2.521,-0.729,5.355,-41.25
,Y,High,-0.992,0.1366,-1.313,-0.643,-1.849,-0.9937,1.467,1.093,2.04,-3.873,-3.555,-0.3435,58.34
A,Y,Medium,-0.527,-4.65,0.571,2.797,-0.943,-0.716,1.373,1.783,1.405,1.505,2.252,1.279,81.75
A,X,Low,5.35,3.348,-1.007,2.53,-0.1573,-7.754,2.148,3.107,2.393,-0.2742,4.938,3.781,37.97
C,Y,High,-0.00213,-2.596,-3.604,3.367,1.574,-0.4473,,-0.3096,0.857,-1.964,-1.529,-0.4067,105.8
B,Y,Medium,-1.302,-1.42,-0.776,0.8823,0.2489,-3.123,0.734,2.947,0.9604,0.6807,-2.988,2.818,56.6
A,Y,Low,-0.721,-0.8867,-2.246,0.9,0.1058,-1.309,1.508,2.174,1.558,-2.275,-1.611,-0.5273,68.3
B,X,Medium,1.442,-1.014,1.096,-1.346,-0.4685,0.811,1.182,4.496,-0.6934,-4.61,6.28,3.695,41.1
A,X,Medium,2.188,0.641,0.971,0.8228,1.701,,1.401,3.734,2.127,1.275,-2.125,2.422,23.61
,Y,Low,0.1501,1.0,0.01552,2.348,2.69,1.432,-0.001699,1.469,-0.7285,-3.709,3.197,3.809,76.4
,Y,Medium,-3.705,0.894,-4.41,-4.105,1.854,2.777,-1.72,-0.332,0.1969,-2.021,2.25,1.742,0.6475
B,,Low,4.066,-0.5093,-2.172,-0.5776,1.202,2.61,2.648,1.18,-1.482,1.901,1.849,0.516,-70.25
C,Y,Medium,-4.395,1.226,-0.399,1.948,0.3823,-0.132,2.27,0.7393,-0.4612,0.6646,3.842,3.322,90.44
B,X,Medium,2.135,,-4.883,-0.2094,-0.582,,1.566,2.39,2.18,1.642,-1.276,0.85,-52.4
,Y,Medium,-0.2194,0.3418,-1.593,-2.816,-0.2908,-1.677,3.252,3.441,2.662,,4.016,-0.1451,23.56
B,Y,Low,3.832,-1.307,1.408,0.9023,0.1775,-0.1125,1.022,-4.2,0.4814,-0.814,0.2898,8.05,41.22
A,X,Low,2.09,,-0.5664,0.4458,-0.1625,1.408,0.823,5.062,0.1941,-0.8096,-1.576,-3.084,7.95
C,Y,High,2.254,2.488,-0.603,-2.027,0.4446,,0.5767,1.153,0.847,-2.28,-0.3403,,41.28
A,Y,High,0.9565,1.707,-0.647,-0.2773,0.949,-0.0006046,0.282,-1.117,-1.624,-2.088,4.65,-2.602,36.7
C,X,Medium,-0.11084,-2.31,-0.545,2.1,1.316,-1.672,,-0.365,1.209,-1.903,1.838,-2.523,139.9
B,Y,Medium,1.603,-0.07086,,1.955,1.81,1.066,2.244,,0.9834,2.47,-0.05432,-2.215,61.25
B,X,Low,-0.8857,2.492,-0.086,1.483,1.504,1.931,1.379,0.703,1.134,-4.438,0.8623,2.133,103.9
A,X,,-3.582,-0.6763,1.19,-0.707,-0.3293,3.61,0.09406,-0.7705,-0.916,6.695,-2.973,,31.03
C,X,Medium,0.3882,0.7075,1.892,0.3765,-1.858,-1.129,0.9985,0.03177,-0.6284,1.346,-3.613,2.453,67.94
B,X,High,-2.707,4.39,-0.9995,-1.957,0.3586,-0.262,0.965,-3.064,0.1216,0.7544,2.01,0.1869,47.72
A,Y,Low,-2.814,-2.797,0.5493,0.609,4.703,-0.4746,1.893,-1.647,0.7095,1.395,1.7295,-0.6655,129.8
A,Y,Medium,-1.376,1.411,-1.595,-0.649,-0.1781,-0.3953,0.6094,-1.8955,1.646,-2.373,-5.176,-0.05606,55.1
A,Y,,-0.2443,1.601,-1.708,1.139,-0.6626,1.324,1.076,0.7153,0.8833,-4.25,-2.2,-4.28,61.84
B,X,Low,0.431,0.1407,0.623,-1.727,-1.986,2.924,2.99,3.488,1.854,-1.192,-3.945,2.633,-2.248
A,Y,Medium,-1.622,4.61,2.89,-2.338,-0.6875,-2.742,,-0.1025,0.835,2.293,-0.034,7.086,20.22
B,Y,Low,-1.264,-3.727,1.264,0.637,0.805,3.021,1.112,-0.282,2.066,0.39,-3.555,3.53,80.0
C,X,Low,6.47,0.9326,0.7183,2.398,0.2274,1.311,1.555,1.33,0.8403,2.174,-3.41,0.2805,-6.113
B,Y,High,-2.25,-1.474,0.7236,-2.037,-0.605,-1.884,0.452,1.922,0.1943,-1.74,1.774,5.652,39.78
A,Y,Medium,-1.705,-0.08856,-0.855,2.102,0.0317,-1.244,1.746,-0.756,1.872,-0.4268,2.842,-0.7515,107.4
C,X,Low,0.497,2.422,-1.494,0.03967,-2.12,-1.955,1.164,2.314,0.9536,0.3198,-0.2413,2.12,10.21
C,X,Low,-0.638,-1.393,-0.655,,-2.137,-1.108,0.4658,-1.088,0.629,0.3574,-5.418,3.273,45.78
B,X,Low,-3.508,0.5386,0.3333,1.414,-1.948,-3.492,2.318,1.308,-0.3262,0.2292,-0.701,-2.256,113.5
A,Y,Medium,-0.7163,-0.4329,1.015,0.4006,-1.037,-1.715,1.601,3.293,1.463,-3.281,2.365,1.117,75.4
C,X,Low,-2.482,-0.09894,1.139,2.367,2.16,-1.763,,2.438,1.43,-0.8765,2.123,,156.2
A,X,High,,-1.719,-0.07776,-1.905,0.4226,3.473,0.1231,3.812,0.4502,1.094,4.477,2.635,-10.82
B,X,Low,-1.241,0.3625,0.8945,-0.254,1.131,3.693,0.1932,2.77,1.956,0.2993,-4.543,1.64,43.97
A,Y,Medium,,,3.64,-2.264,2.613,,2.5,6.3,0.0884,-0.671,1.114,4.242,58.47
B,Y,Medium,-1.312,-1.743,-0.65,2.393,-1.969,1.168,2.176,-1.713,0.702,-0.7803,-3.44,2.752,89.6
A,X,Medium,1.477,3.59,-0.9585,0.237,-0.801,3.121,-0.465,0.204,-0.521,3.443,3.252,,-44.47
A,Y,Medium,-1.937,-4.707,-1.571,-2.896,-2.496,-1.678,0.3232,1.449,0.0654,-0.509,,4.387,4.195
C,,Low,-0.4685,2.943,-0.9375,1.402,3.123,-2.082,0.1808,-3.28,0.097,-3.432,-2.277,1.801,113.75
,X,Low,4.277,-3.752,,-1.774,3.96,1.127,1.681,1.828,1.115,3.26,1.133,2.19,-18.81
B,Y,Low,2.463,-2.988,2.607,-2.014,-1.161,0.3176,-0.921,0.1707,0.7773,1.303,-2.594,1.36,11.625
C,X,Low,0.3535,2.438,1.493,-0.2002,-2.27,-2.738,2.54,2.246,0.8506,,-1.758,-2.307,72.4
A,X,Medium,4.875,-0.6816,-0.05438,,2.291,-0.326,0.3708,-0.6553,-0.12286,3.502,-2.943,0.8604,25.3
C,Y,Low,3.078,3.496,2.373,,2.352,-0.8906,0.9307,0.5063,-0.976,-3.309,-2.156,3.287,80.2
A,Y,Low,-3.182,-3.795,-0.4648,-1.121,,-2.996,0.8413,5.52,-1.063,4.56,-0.3467,3.29,-13.89
B,Y,Medium,4.85,5.26,1.7,1.755,1.139,-1.589,1.675,-1.675,-0.697,-0.905,0.03714,1.98,27.27
B,Y,Medium,-3.973,-3.35,1.5625,2.574,1.206,-0.41,-0.784,-1.538,0.417,-1.602,6.72,1.029,170.5
C,,High,-0.734,-0.482,-0.8906,1.395,-0.6543,-3.006,-0.1451,0.1111,-0.5815,-1.194,-2.201,,81.6
C,Y,Low,-1.985,-1.242,-1.579,-3.207,-0.4116,-0.191,-0.3313,1.948,-0.125,3.746,6.523,-1.785,-6.45
C,Y,Medium,-0.1125,2.482,1.7705,,1.934,1.019,-0.546,-1.317,1.225,-1.106,0.0201,5.19,57.6
B,X,Low,-2.406,-3.11,-1.878,-6.547,1.029,1.366,1.33,-2.344,1.0205,-1.744,6.844,1.828,36.88
A,,Low,2.828,1.903,-0.714,1.117,1.865,3.658,0.2678,,0.7764,-2.127,2.236,2.328,16.6
B,X,Medium,1.385,,0.4905,2.424,-0.357,-6.695,1.131,3.309,0.47,2.041,,0.2068,69.56
B,X,Medium,4.71,0.1791,-2.482,1.567,1.153,-1.17,1.708,6.867,2.73,4.164,-2.049,1.274,-50.34
C,Y,High,-3.402,-3.367,-2.242,0.3242,0.2637,0.9136,1.125,0.993,0.619,-3.17,-1.374,1.162,111.44
A,X,Low,0.5933,4.566,1.978,2.215,1.369,-1.225,1.864,-0.04773,1.422,1.299,1.524,-1.913,68.3
C,X,Medium,5.977,-3.396,2.059,-1.696,1.37,6.277,0.2922,-3.803,-0.8115,0.8516,1.473,-3.975,47.34
A,Y,High,3.578,-1.942,-0.8564,1.361,0.637,-0.437,1.723,3.94,0.2174,2.121,-0.2515,,-5.285
C,Y,High,0.2537,-0.958,-1.171,-1.507,,2.521,1.174,3.283,0.7886,1.912,2.717,-1.076,0.1617
A,Y,Medium,-3.365,0.6504,-1.65,-0.434,0.664,-1.628,,0.8726,0.339,-0.607,1.454,3.723,37.1
B,Y,High,,-0.1631,0.9736,-1.176,-1.149,0.77,2.52,-1.857,1.077,0.524,-1.951,1.558,61.56
B,X,Medium,0.2795,2.785,0.7944,1.279,0.98,-2.69,3.324,5.02,0.07385,-3.514,-5.227,,87.44
,X,Low,2.84,2.156,3.03,1.893,-1.969,-0.729,0.982,0.971,1.523,2.451,-3.473,1.346,60.34
,X,Medium,-1.368,-0.3655,2.615,1.21,-0.2236,3.117,1.759,0.8335,-1.259,-0.06207,3.246,,68.4
C,X,Low,2.807,-0.03116,1.899,-0.6333,-0.4565,,0.0595,2.363,,-3.828,3.385,1.625,69.9
C,Y,Medium,0.1978,1.33,0.1803,1.689,,-1.191,-0.6626,2.484,0.2817,,2.643,-0.9673,39.5
A,X,Low,0.5254,-0.7075,-1.64,-0.3386,3.99,5.895,1.76,4.316,2.31,-1.95,5.07,1.482,16.39
B,Y,Low,2.336,3.152,-0.02185,2.105,-0.137,-0.5557,2.213,-1.945,0.8276,0.1727,-2.203,-0.1798,50.4
A,X,Low,-3.455,0.06903,-1.069,1.071,,-0.3179,2.512,-0.1577,1.137,-6.035,-5.86,3.646,142.0
B,X,Medium,1.459,2.973,0.7,1.179,0.805,1.805,0.501,-3.787,1.363,0.1556,-3.111,1.409,50.34
C,Y,Medium,0.7036,1.795,3.865,3.992,1.584,-1.154,0.695,6.016,0.0518,-1.887,2.863,-1.476,110.0
C,,Low,-0.727,0.268,-2.12,-1.346,-0.098,6.11,1.929,1.96,0.277,-0.3784,1.184,,16.75
C,Y,Medium,1.554,-1.342,0.2666,-6.152,,-2.059,1.059,-0.545,1.313,-2.04,-2.98,1.78,21.7
C,Y,Medium,-0.77,-1.909,,-1.689,0.04907,0.906,1.573,-0.813,,-0.6323,1.282,2.193,23.94
A,Y,Medium,2.45,0.8,-1.588,-2.188,-1.071,-1.324,0.6694,-0.1014,0.3328,-4.03,-0.6157,4.598,-16.4
A,Y,Low,-3.102,0.2566,1.209,1.864,2.074,0.2432,0.77,3.95,-1.073,0.3982,4.89,0.4336,85.5
B,Y,,4.14,-2.305,0.4946,1.264,,0.2927,2.045,3.207,0.454,-0.010826,-3.22,0.02733,58.34
A,X,High,-2.682,5.758,1.471,-0.911,-1.345,1.856,0.1311,-1.427,,0.587,-1.92,-2.219,38.3
C,Y,Low,-1.063,0.4983,-1.356,3.02,-0.672,-1.825,1.018,2.328,2.629,-1.185,1.422,1.263,89.44
C,Y,Low,2.848,-0.0747,,-3.504,-0.746,-0.7256,0.5493,-3.307,0.5723,,-2.104,3.098,54.97
C,Y,Medium,-2.76,2.05,-0.8745,1.282,-0.01938,-1.285,0.5186,1.128,-1.522,-4.68,3.525,3.355,93.56
B,Y,Medium,3.01,-2.957,-2.164,1.283,-0.3843,-0.9985,1.695,-3.92,0.3245,-0.708,1.026,0.3357,56.75
B,Y,Medium,0.9927,-0.3984,0.671,1.358,2.695,-0.153,1.238,-2.629,0.9062,,4.03,-4.82,97.25
A,Y,,1.786,-2.855,,0.2563,1.669,-2.57,0.2382,3.281,-0.767,-2.229,0.8154,2.61,36.2
C,X,Low,0.7046,-1.343,-2.049,1.527,0.1511,-0.84,-0.1926,2.758,0.3813,0.69,-2.031,0.4985,45.34
A,X,Low,6.273,-0.156,0.8496,1.363,,1.04,2.406,6.336,1.313,-0.4673,3.557,-1.01,9.125
A,X,Medium,-1.838,0.648,-0.551,0.3994,0.0617,-1.847,2.623,-0.2983,0.8667,-0.996,-4.04,2.154,93.06
A,X,Low,3.172,-0.06155,2.91,-1.732,2.967,0.8896,0.1213,-1.407,0.356,2.621,-3.695,-1.244,34.06
A,,Low,-2.043,-3.088,-1.362,0.9253,-0.6255,4.152,2.035,0.651,0.863,3.703,3.984,1.123,18.27
B,Y,Low,-3.39,-0.827,,-0.03137,-0.7124,1.387,0.899,-0.4067,1.657,0.4536,0.964,-1.193,61.53
,Y,High,3.838,3.537,1.876,-3.066,2.215,,-0.677,-0.4036,-0.1116,3.781,3.168,0.1819,-12.73
C,Y,,0.9004,2.791,-0.1565,,-1.91,-0.4744,2.58,1.21,1.905,,0.5796,4.164,14.57
C,Y,Low,-3.568,3.125,-1.783,1.112,-1.111,-1.372,2.076,-3.943,0.825,1.282,3.541,-0.836,96.06
C,X,Medium,-2.07,1.013,1.824,-1.073,0.2869,0.7163,1.631,-4.62,-0.1339,0.257,-0.4263,3.838,87.75
A,Y,Medium,-0.795,2.123,0.2737,-1.696,1.751,-2.203,0.5996,-0.2842,2.324,2.148,3.293,0.0372,34.9
B,,Low,-2.357,-3.107,-2.557,0.1512,-2.021,0.2861,-0.0994,-0.75,1.733,-0.6753,-3.883,1.025,50.6
C,,Medium,-2.053,-4.758,0.936,-3.326,2.834,-2.166,1.812,3.52,0.6904,-0.4631,1.244,4.25,73.9
A,Y,Medium,0.1335,-5.082,-0.974,-0.2448,1.156,0.2593,1.906,-1.134,-0.8647,0.06525,-0.9683,2.188,53.75
B,Y,Medium,-2.246,2.475,-0.384,1.014,,-3.934,1.1045,6.5,0.314,-0.4675,2.521,2.914,24.52
B,X,Medium,1.568,-1.129,-1.595,0.3127,0.2467,0.5205,0.3809,2.65,,-2.4,0.5913,2.014,24.89
A,X,High,0.4634,0.5117,0.711,1.228,1.412,-2.457,1.359,1.002,0.4675,5.312,0.9316,-2.164,56.94
B,,Medium,-1.653,1.097,-1.487,0.2607,-0.53,1.183,2.383,0.8447,0.7783,2.166,1.419,2.906,21.52
B,X,Medium,3.496,0.2374,,,-1.4,-1.04,0.5435,2.455,-0.4783,1.434,2.117,2.549,-23.67
C,Y,Medium,,-0.3965,0.6626,2.465,0.02068,2.488,1.286,3.898,-0.424,-1.759,-0.476,-0.8545,62.16
B,X,Medium,-0.4111,1.357,-1.503,-2.541,1.316,-2.395,0.1176,-0.519,-0.262,2.605,4.074,,-2.385
,X,High,0.9473,-0.5405,-2.094,0.06805,1.069,2.07,2.396,2.916,-0.4578,-2.21,3.895,1.034,51.8
C,Y,Medium,1.017,-0.487,1.003,-4.18,0.984,,,-0.573,0.2006,-2.812,1.205,,28.92
C,Y,High,-0.579,-2.879,0.4744,-1.611,2.566,0.5513,0.9795,5.65,0.2257,-1.927,-0.633,-4.914,82.2
B,Y,Medium,1.883,1.727,-3.227,2.352,-2.906,-1.022,0.608,5.598,1.681,2.838,2.254,1.39,-59.3
C,X,High,-4.46,0.1875,-0.07196,3.643,-1.615,-0.10034,1.124,4.312,-0.518,0.868,-0.536,1.633,106.8
C,X,Medium,6.664,,2.074,-1.078,1.899,-0.8433,2.545,-4.82,0.2079,3.812,5.312,-2.06,39.28
C,Y,Medium,2.049,1.124,,-1.168,1.906,2.094,1.72,-0.2438,2.688,-0.822,-0.974,-3.049,62.8
C,X,,4.395,-1.503,-0.4949,0.3809,0.467,-2.338,0.3157,-1.477,1.74,-0.4033,-2.527,0.2593,47.12
B,X,Low,3.488,3.986,-1.213,0.628,-0.3198,3.445,1.651,-0.899,2.355,-1.933,5.082,0.4978,-7.195
C,X,,2.93,-3.365,0.335,-1.123,-2.24,0.756,2.855,-0.768,0.1434,0.3257,-0.637,1.531,35.03
B,X,Low,,1.329,5.746,0.3787,-0.7593,1.2,0.1532,-3.572,1.336,-3.08,1.233,1.636,127.56
B,X,High,-2.273,0.3599,1.729,0.639,1.226,6.86,0.1814,-2.615,0.7876,1.013,-1.324,-0.667,67.4
,X,Low,0.1433,-0.9077,0.6973,0.824,0.79,2.049,3.555,2.594,0.2365,3.014,,-1.599,32.78
A,X,High,0.0393,3.172,0.93,3.379,2.092,-3.246,-0.3303,2.715,0.6562,-2.596,1.547,-2.807,85.7
C,Y,High,-2.021,0.4038,2.404,4.05,-2.002,-2.07,0.3901,-0.3918,0.1288,-1.403,1.813,3.242,127.56
A,X,Medium,0.2415,-1.774,-0.7603,0.3264,0.4336,-1.086,0.2556,4.133,-0.3032,-1.554,0.681,-1.86,44.53
A,X,Medium,0.1627,2.465,2.947,,0.2217,-1.589,1.573,1.419,0.3325,-2.047,-3.764,-2.35,116.9
C,X,Medium,0.777,-0.6987,-1.614,2.637,0.4692,-2.096,0.615,2.172,-0.04068,-5.9,2.59,,100.5
B,Y,Medium,0.7944,-3.299,0.8774,,2.863,-1.597,2.135,4.984,1.349,-1.591,-3.605,0.757,38.5
,X,Medium,-2.836,-3.105,-1.489,2.55,0.7627,-1.8545,2.928,-2.254,1.288,-0.597,-2.43,-1.617,155.2
